nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Werner Wanderer,PFL,PR,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,0,-1,-1,1,0,0,1,1
Germano Rigotto,PMDB,RS,-1,0,1,1,1,1,1,0,0,1,-1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1,0,1,1
Paulo Paim,PT,RS,-1,-1,-1,1,-1,0,0,0,-1,1,-1,1,1,0,1,0,0,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,-1,1,-1,0
Marcos Lima,PMDB,MG,0,0,0,-1,-1,0,-1,0,0,1,-1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,-1,-1,-1,1,1,1,1,1,0,0,1,1,-1,0,1,1
Saulo Coelho,PSDB,MG,-1,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Socorro Gomes,PCdoB,PA,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,0,-1,0,0,0,1,0,0,0,0,0
Maurilio Ferreira Lima,PMDB,PE,0,1,1,-1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,1,0,1,0,1,0,0,1,0,0,0,1,0
Elias Murad,PSDB,MG,-1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,-1,1,0,1,1,1,1,-1,1,1,1,1,1,0,-1,0,-1,1,-1,1,0,1,1
Edmundo Galdino,PSDB,TO,0,-1,1,1,0,1,1,0,1,1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,0,1,-1,-1,-1,1,1,1,0,0,1,0,1,-1,1,0,0,0
Romel Anizio,PP,MG,0,0,1,1,1,0,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,-1,1,0,1,0,0,0,-1,1,1,0,1,1
Vadão Gomes,PP,SP,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,-1,0,1,1,0,0,0,0,0,1,0,1,1
Derval de Paiva,PMDB,TO,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,-1,-1,-1,-1,0,0,1,1,0,0,0,0,0,0,1,0
Aloizio Mercadante,PT,SP,0,0,-1,1,-1,0,1,-1,-1,1,0,1,1,0,1,1,0,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,1,1,0,-1,1,0,0
Eraldo Tinoco,PFL,BA,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,1,-1,0,1,1,1,1,-1,1,1,1,0,0,0,-1,1,1,0,1,1
Aracely de Paula,PFL,MG,0,0,1,1,1,1,0,0,0,1,-1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-1,1,0,1,1,0,0,0,0,0,0,1,0
Francisco Silva,PST,RJ,0,0,1,1,0,1,1,0,0,-1,-1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,-1,1,0,-1,0,0,0,0,-1,0,0,0,1,1
Genésio Bernardino,PMDB,MG,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,-1,0,0,1,1,1,1,0,0,0,1,-1,0,0,0
Odelmo Leão,PP,MG,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,0
Roberto Magalhães,PFL,PE,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,0,0,0,0,0,1,1,1,1,-1,-1,1,1,1,1,-1,1,0,1,0,1,-1,1,1,1,0,1,0
Ariosto Holanda,PSB,CE,0,1,1,1,1,0,-1,-1,0,-1,-1,1,1,0,1,0,0,0,0,1,-1,-1,1,1,-1,1,-1,-1,-1,0,1,-1,0,0,-1,1,1,-1,0,1,1,1
Milton Barbosa,PSC,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alceste Almeida,PTB,RR,0,1,1,-1,1,1,-1,0,0,1,-1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,-1,0,1,1,0,0,0,0,0,1,0,0,0
Pedro Irujo,PMDB,BA,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,-1,1,1,-1,-1,0,1,1,1,0,0,0,0,-1,1,-1,0,1,1
Ibsen Pinheiro,PMDB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
