nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
Felipe Neri,PMDB,MG,0,0,0,-1,1,0,1,0,0,0,0,0,0,1,1,0
Getúlio Neiva,PL,MG,1,0,0,-1,0,0,0,0,0,1,0,-1,1,0,0,-1
João Paulo,PT,MG,0,1,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0
José Belato,PMDB,MG,0,0,0,-1,1,0,-1,0,0,0,1,0,0,0,0,0
Maurício Campos,PL,MG,1,0,-1,0,1,0,0,1,-1,0,1,0,0,-1,1,-1
Paulino Cícero de Vasconcelos,PSDB,MG,-1,1,1,-1,-1,1,1,1,-1,0,1,0,1,1,1,1
Jorio de Barros,PMDB,ES,0,1,-1,-1,0,0,-1,-1,0,0,1,-1,0,-1,-1,0
Alvaro Valle,PL,RJ,0,-1,0,0,1,-1,0,0,-1,1,0,1,0,-1,1,0
Carlos Alberto Campista,PDT,RJ,1,-1,0,0,1,1,0,0,-1,0,0,1,0,0,0,0
Jamil Haddad,PSB,RJ,-1,1,1,-1,1,0,0,0,-1,0,0,-1,0,0,0,1
Junot Abi-ramia,PDT,RJ,1,-1,1,-1,1,1,0,-1,-1,0,1,1,0,0,0,0
Artur da Tavola,PSDB,RJ,-1,0,1,-1,-1,1,0,1,1,0,1,1,1,-1,0,0
Sandra Cavalcanti,PPR,RJ,1,0,0,0,-1,-1,0,1,1,1,1,0,0,1,1,1
Sérgio Cury,PDT,RJ,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,1,0
Sidney de Miguel,PV,RJ,-1,1,0,-1,0,0,0,0,0,1,1,1,0,0,0,0
Simão Sessim,PPR,RJ,0,0,-1,-1,0,0,0,0,0,0,0,1,1,0,1,0
Vladimir Palmeira,PT,RJ,-1,1,0,0,-1,0,0,0,-1,0,-1,1,0,0,0,0
Diogo Nomura,PL,SP,1,0,0,0,0,0,0,1,-1,0,1,0,1,1,0,0
Gastone Righi,PTB,SP,0,1,-1,-1,0,-1,0,1,-1,1,0,1,-1,1,1,-1
Geraldo Alckmin Filho,PSDB,SP,-1,1,1,-1,-1,1,1,1,1,0,0,1,1,0,0,1
Irma Passoni,PT,SP,-1,0,0,-1,-1,0,0,1,-1,0,-1,1,0,0,0,0
José Serra,PSDB,SP,-1,1,-1,-1,0,-1,1,1,1,0,1,1,0,0,0,0
Oswaldo Stecca,PMDB,SP,1,1,-1,0,0,1,1,0,0,0,0,1,0,0,1,1
Walter Nory,PMDB,SP,1,1,0,-1,1,1,-1,0,0,0,0,0,0,-1,1,0
João Teixeira,PL,MT,0,1,0,-1,-1,-1,0,0,1,1,0,0,0,-1,1,0
Jonas Pinheiro,PFL,MT,1,1,0,-1,0,-1,0,1,-1,1,1,1,1,1,0,0
João Natal,PMDB,GO,0,1,0,0,1,0,0,0,-1,0,1,0,0,0,0,0
Valter Pereira,PMDB,MS,1,1,-1,-1,0,0,1,1,0,0,1,-1,0,1,-1,1
Elio Dalla-Vecchia,PDT,PR,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
Munhoz da Rocha,PSDB,PR,-1,0,0,0,-1,1,1,1,-1,0,1,-1,0,-1,1,0
Pedro Tonelli,PT,PR,-1,1,1,-1,-1,1,1,0,-1,-1,-1,1,0,0,0,0
Wilson Moreira,PSDB,PR,0,1,1,-1,0,1,1,0,1,-1,1,-1,0,-1,1,0
Dejandir Dalpasquale,PMDB,SC,1,0,0,-1,0,0,1,1,-1,0,1,0,0,1,-1,0
Luiz Henrique,PMDB,SC,1,1,0,-1,0,0,1,1,0,0,1,-1,0,1,1,0
Ivo Mainardi,PMDB,RS,1,1,-1,-1,1,0,1,1,0,0,1,1,0,1,1,0
Mendes Ribeiro,PMDB,RS,1,1,0,0,0,1,1,1,0,0,1,0,0,-1,-1,1
José Fortunati,PT,RS,0,0,1,-1,0,0,0,1,0,-1,-1,1,0,0,-1,1
Valdomiro Lima,PDT,RS,0,0,0,-1,0,1,0,0,-1,0,1,1,1,0,1,0
Wilson Muller,PDT,RS,1,-1,1,-1,0,1,0,-1,-1,1,0,0,0,0,0,0
Eliel Rodrigues,PMDB,PA,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,1
Marino Clinger,PDT,RJ,1,-1,0,0,0,0,0,0,-1,1,0,-1,0,0,1,0
Pedro Tassis,PMDB,MG,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Paulo Ramos,PDT,RJ,0,-1,0,-1,1,0,-1,-1,0,0,1,0,0,0,0,1
Paulo Romano,PSC,MG,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Eraldo Trindade,PPR,AP,1,1,0,0,1,-1,1,0,-1,0,1,1,0,0,0,0
Lourival Freitas,PT,AP,-1,1,1,-1,-1,1,1,0,-1,-1,-1,1,0,0,0,1
Hilário Coimbra,PTB,PA,1,1,-1,-1,1,0,1,0,-1,0,1,-1,1,1,1,0
Pascoal Novaes,PSD,RO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
José Burnett,PPR,MA,-1,0,-1,1,1,-1,1,0,-1,0,1,0,0,0,0,-1
Flávio Rocha,PL,RN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Augusto Farias,PSC,AL,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0
